,Date of Creation,Content,hashtags,User
1358,2023-04-09 23:07:07+00:00,Sport: Arsenal rue loss of discipline as they squander two-goal lead against Liverpool  - Reuters https://t.co/IFl7ElRVtI,N/A,theedgemalaysia
1359,2023-04-09 23:07:00+00:00,@Faridatu001 Just see what a meet up earlier from two of my friends (madrid &amp; united fans)😂 all eyes on arsenal https://t.co/94qrU0hGYC,N/A,Mahmoudsalisu4
1360,2023-04-09 23:06:55+00:00,"@SkySportsPL Henry
Crouch
Ashavin",N/A,GibsChemistry
1361,2023-04-09 23:06:55+00:00,@_Riddxck The fact a Liverpool fan as done a whole post about city and wanting city to win the league over arsenal is deluded,N/A,urmumstinks123
1362,2023-04-09 23:06:53+00:00,@_Riddxck Watch Arsenal winning it at the Ethad! The title is made for Arsenal this season from the get go. City to collapse after Bayern,N/A,AAyanso
1363,2023-04-09 23:06:53+00:00,Matchday https://t.co/GbpULLAxAS,N/A,maxmaws0n
1364,2023-04-09 23:06:49+00:00,"@shiftLeftAuto @Bottle_Job_FC Every team has decisions that go for &amp; against them &amp; results that don’t reflect performance, City included. Arsenal’s league position has nothing to do with luck.",N/A,LottieHoughton
1365,2023-04-09 23:06:47+00:00,@terryflewers Yes I don’t care if City win the Treble cant have arsenal winning no league,N/A,abdi9084
1366,2023-04-09 23:06:46+00:00,@pian2011 @Awesomebeast249 @Arsenal Very sluggish,N/A,Movicsyn
1367,2023-04-09 23:06:45+00:00,@ToniHouston26 2 all or Arsenal score more?,N/A,Gizzie_af
1368,2023-04-09 23:06:44+00:00,"Matchday 💙♥️.
Today is XAVI BALL 🙂🙂 https://t.co/ZqtBcaiy1e",N/A,Tiofilusololade
1369,2023-04-09 23:06:38+00:00,Accident at address: ARSENAL ST / LACKLAND AVE at time: 2023-04-09 17:25:46,N/A,911_calls
1370,2023-04-09 23:06:37+00:00,"Madrid tie
Arsenal
Forest
These are the games I expect Chelsea to win for now
Bayern/City and the final can come later if we miraculously progress
Till then these should be our sole focus to end the season on a good note",N/A,tjeed_t
1371,2023-04-09 23:06:37+00:00,"@Rory_Talks_Ball Very bad performances when it comes to 

Officiating Arsenal matches for me.",N/A,Dotse4Dotse
1372,2023-04-09 23:06:35+00:00,"Chris Sutton: Arsenal star Granit Xhaka's act of stupidity brought Liverpool to life: CHRIS SUTTON: Jurgen Klopp used to describe his Liverpool players as 'mentality monsters'. But for the first 40 minutes of this match, they were more like 'meek mice'.  https://t.co/OnvbkCoGSP https://t.co/MkdsilJEx0",N/A,ArsenalFC_MP
1373,2023-04-09 23:06:35+00:00,We Arsenal funs should agree one thing Arteta has different vyb on big teams and usually gets frustrated #liverpoolarsenal #ARS,"['liverpoolarsenal', 'ARS']",umairkama
1374,2023-04-09 23:06:35+00:00,"@SamAfc @UtdEIIis Alhieeeeeeeeeee united fans get cooked hahaha yes Sam 
United salty fans got cooked 7/0 embarrassing",N/A,Ehsaan60779921
1375,2023-04-09 23:06:35+00:00,EPL title race flipped on its head as Liverpool storm home against Arsenal after ‘absolutely idiotic’ act https://t.co/nBo9cCgnGR,N/A,RobertoHeinert
1376,2023-04-09 23:06:34+00:00,"@My_Fckn_SZN Because you're literally supporting a team that's going to do something that only united have done.. so that thing that's made you unique in English football wont be there anymore... And your local rivals? Not saying support Arsenal, just stay neutral 😂",N/A,HamzahAFC201
1377,2023-04-09 23:06:33+00:00,"THE NOTEBOOK: Arsenal's fondness for prolonged stoppages might have worked against other clubs: DOMINIC KING AT ANFIELD: Had they won, we could have saluted the dark arts. You don't win a title by making friends, and Arsenal have a fondness for breaking… https://t.co/9qcyadrTva https://t.co/GqgdBC5Rbm",N/A,ArsenalFC_MP
1378,2023-04-09 23:06:33+00:00,@sophhiaie Are you saying Arsenal fans to go sleep now? Or 🤷‍♂️,N/A,FootFerreira
1379,2023-04-09 23:06:30+00:00,"@FaruqBashar Omo I support u on this, brooo The audacity arsenal fans have now Ull think dey have been winning back to back league titles",N/A,ChuksofAbj
1380,2023-04-09 23:06:27+00:00,"Arsenal (H) Unbelievable respect shown for the minute silence from the away fans.Great game, unfortunately the tactics of Arsenal today has left a bitter taste. Time wasting cheats &amp; nearly got what they deserved.
Loved the fight shown by the Reds today to get back into the game. https://t.co/AuIWdtZMRs",N/A,r8hugs
