,Date of Creation,Content,hashtags,User
912,2023-03-19 23:08:41+00:00,🎉 A massive congratulations to all the newly matched Family Medicine residents! 🌟 Your dedication and hard work have led you to this incredible milestone. Embrace this journey as you make a lasting impact on the lives of families and communities!👩‍⚕️👨‍⚕️ #MatchDay #familymedicine,"['MatchDay', 'familymedicine']",dralkim86
913,2023-03-19 23:08:39+00:00,@Popsiecool6 @Arsenal Isn’t that too much to ask from someone,N/A,NalugwaJesca
914,2023-03-19 23:08:23+00:00,@premierleague Arsenal is for Real! #COYG #LETSGOGUNNERS 10 more wins to the Main Goal!!!,"['COYG', 'LETSGOGUNNERS']",mishori_thukuh
915,2023-03-19 23:08:17+00:00,@kevlaryo Her school was Crondell Crumpets 😂,N/A,JohnAylott7
916,2023-03-19 23:08:16+00:00,I #VoteAlmada for @MLS Player of the Matchday!,['VoteAlmada'],januclosar
917,2023-03-19 23:08:14+00:00,If arsenal fanbase as a whole starts saying they’re better than 19/20 Liverpool I’m afraid ill have no choice but to root for city. I’m starting to see a few of them pop up with this opinion 🤨,N/A,Waynequest_
918,2023-03-19 23:08:12+00:00,"@AfcDhanieyel @FootballFunnnys You need to check or you're blind
@Sandrofootball and @Sandro_football is a different acc
But it's okay, you're just Arsenal fan",N/A,tukangbullylgbt
919,2023-03-19 23:08:07+00:00,@OnyedumFrancis Arsenal to win the Prem? Why do you want that? It’s good making fun of Arsenal,N/A,Mohamma21489762
920,2023-03-19 23:08:02+00:00,"@Gabrielcubed @EBL2017 yeah you have some fair points, but it’s a complicated discussion if it’s a serious one.

at any rate let’s hope arteta and ten hag will be having some titanic battles in the next years. it’s time for the arsenal vs united rivalry with titles at stake to come back.",N/A,peopleperson__
921,2023-03-19 23:07:59+00:00,@GoonerDan1999 @Arsenal @RobHolding95 Stay in fifa career mode,N/A,Darylianp
922,2023-03-19 23:07:57+00:00,Watching arsenal is so much better with a doginelli agenda,N/A,4burna_
923,2023-03-19 23:07:49+00:00,@ftblSharl @JackFawcett1704 He’s an arsenal reject for a reason and doesn’t get game time for Real Madrid,N/A,KieranW710
924,2023-03-19 23:07:48+00:00,Arsenal for the Prem,N/A,MikeLaBelle
925,2023-03-19 23:07:46+00:00,I #VoteAlmada for @MLS Player of the Matchday!,['VoteAlmada'],illini001
926,2023-03-19 23:07:46+00:00,@Arsenal @RobHolding95 Thanks for holding,N/A,Promise75994110
